Source,ownership,Region,Name,Country,address,City and Region,State,description,Simple Category,Full Category,E-mail,Website,Phone,Facebook,Lat,Long,Tools,Short blurb (NULL),Fablabs url (NULL),wiki_hackerspaces,Status,Flickr,YouTube,Ustream,Mailinglist,Last Updated,Open to Exchanges?,IRC,Date of founding,Number of members,Wiki,Twitter,GooglePlus / Facebook,Membership fee,Jabber,Open to Residencies?,City,State or District,"meetup, Eventbrite",Size of rooms,Original Long lat or degrees,,g_Address,g_LatLng,g_Icon,g_Id,g_Place_Id,g_Name,,g_Rating,g_Types,open_CONTACT FIRST NAME,open_CONTACT SURNAME,open_CONTACT POSITION,IMAGE URL,FUNCTION,THEME,FORM,FOCUS,SUBMITTER FIRST NAME,SUBMITTER SURNAME,SUBMITTER EMAIL,SUBMITTER ORGANISATION,ADDRESS 1,ADDRESS 2,ADDRESS 3,Address 4,POSTCODE,address_open,description_open,Full Category_open,Lat_open,Long_open,faire_category,faire_annual,faire_name,faire_year,faire_event_type,faire_event_start_date,,giz_impact
open,Non-Profit,Europe,Creative Foundation,,"Quarterhouse, Mill Bay,  Folkestone, CT20 1JR",Folkestone,,The Creative Foundation is an independent visionary arts charity dedicated to enabling the regeneration of Folkestone through creative activity.,Cluster,Cluster,info@creativefoundation.org.uk,http://www.creativefoundation.org.uk,,,51.081202,1.182866,,,,,,,,,,,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,http://movement.open.co/sites/default/files/styles/medium/public/creative-foundation.jpeg?itok=VsIjEuo3,"Learning, Making, Working, Trading, Celebrating","Culture, Community, Design, Education",Physical,Local,,,,,Quarterhouse,Mill Bay,,Folkestone,CT20 1JR,,,,,,,,,,,,,
open,Government,Europe,Creative Industries Fund NL,Netherlands,"Weena 723, Rotterdam, 3013 AM",Rotterdam,,"Creative Industries Fund NL is the cultural fund for architecture, design, and e-culture. The Fund is also keen to encourage the cross-sectoral approach and cooperation between the private sector, individuals and government in the creative industries, in the Netherlands as well as abroad.",Cluster,Marketplace,info@stimuleringsfonds.nl,http://stimuleringsfonds.nl/en/,,https://www.facebook.com/Stimuleringsfonds,51.922699,4.467071,,,,,,,,,,,,,2013,,,@StimuleerFonds,,,,,,,,,,,,,,,,,,,,,,,http://movement.open.co/sites/default/files/styles/medium/public/creative-industries-fund-nl.jpeg?itok=VrtuNhxO,Donating,"Culture, Tech, Community, Design",Physical,National,,,,,Weena 723,,,Rotterdam,3013 AM,,,,,,,,,,,,,
open,Entrepreneur,Europe,"Creative Spark, Louth Creative Community Hub",Ireland,"Clontygora Ct., Muirhevnamor,  Dundalk, Co.Louth, ","Dundalk, Co.Louth",,"Established in 2012 to meet the recognised the need for a dedicated creative training and workspace facility in the county Creative Spark, Louth Creative Community Hub has been developed with a focus on the development of the creative enterprise sector in this region and the use of creative practice to promote social engagement.

Providing dedicated training and £learning lab€ facilities and affordable workspace, Creative Spark is more than just serviced workspace. Creative Spark offers an environment where creativity can flourish and where networking and connectivity are more than just buzzwords but are a daily reality for the creative community working, learning and meeting in the centre.

 ",Cluster,Cluster,hello@creativespark.ie,http://creativespark.ie,,https://www.facebook.com/creativesparkie,53.985083,-6.382231,,,,,,,,,,,,,2012,,,@CreativeSparkie,,,,,,,,,,,,,,,,,,,,Sarah,Daly,Executive Director,http://movement.open.co/sites/default/files/styles/medium/public/944202_474297579324539_1816591172_n.jpg?itok=s896oOi6,"Learning, Making, Working","Culture, Community",Physical,Local,,,,,Clontygora Ct.,Muirhevnamor,,"Dundalk, Co.Louth",,,,,,,,,,,,,,
open,Non-Profit,Europe,Culture Label,United Kingdom,"33 Bethnal Green Rd, London, E1 6LA",London,,"An initiative which offers the chance to explore the greatest art and design-led products handpicked from iconic museums, galleries, creative boutiques and directly from artists. It has an online shop from which 90% of every purchase goes to supporting the arts organisations.",Cluster,Marketplace,´support@culturelabel.com,http://www.culturelabel.com/pages/about/about-us/team/,,https://www.facebook.com/culturelabel,51.524078,-0.073847,,,,,,,,,,,,,2009,,,@CultureLabel,,,,,,,,,,,,,,,,,,,,Pete,Tullin,CEO,http://movement.open.co/sites/default/files/styles/medium/public/culture-label.jpeg?itok=yuw3eOEv,"Trading, Celebrating","Culture, Design",Digital,Global,,,,,33 Bethnal Green Rd,,,London,E1 6LA,,,,,,,,,,,,,
open,"Entrepreneur, Government",Asia,Culture360.org,Singapore,"31 Heng Mui, Keng Terrace,  Singapore, 119595",Singapore,,"A platform for the cultural engagement between Asia and Europe and to enhance greater understanding between the two regions. Created for and fuelled by artists, cultural practitioners and policy makers, it promotes collaboration, interaction and the exchange of ideas.",Cluster,Marketplace,info@culture360.org,http://culture360.org/,,https://www.facebook.com/culture360,103.778325,1.291294,,,,,,,,,,,,,2006,,,@culture360_ase,,,,,,,,,,,,,,,,,,,,Sabina,Santarossa,Director,,"Learning, Celebrating","Culture, Community",Digital,Global,,,,,31 Heng Mui,Keng Terrace,,Singapore,119595,,,,,,,,,,,,,
open,Informal group,Europe,Cultureinside,Germany,"77 Rue Basse, Steinsel, 7307",Steinsel,,"Cultureinside is a non-profit, free social networking site for the artistic community.",Cluster,Marketplace,,http://www.cultureinside.com/,,,49.670748,6.120159,,,,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sharing, Trading","Culture, Design",Digital,Global,,,,,77 Rue Basse,,,Steinsel,7307,,,,,,,,,,,,,
open,Government,Europe,Derry City of Culture,United Kingdom,"Building 71, Ebrington,  Derry~Londonderry, BT47 1JY",Derry~Londonderry,,Culture Company 2013 leads the cultural programme of the year-long celebration of culture after the city won UK City of Culture in 2013. It's focus lies on digital engagement across online platforms to improve creative connections and digital dialogue across the region.,Cluster,Cluster,info@cityofculture2013.com,http://www.cityofculture2013.com/,,https://www.facebook.com/cityofculture2013,54.999312,-7.309374,,,,,,,,,,,,,2011,,,@derry2013,,,,,,,,,,,,,,,,,,,,Bro,McFerran,CEO,http://movement.open.co/sites/default/files/styles/medium/public/derry-city-of-culture.jpeg?itok=-IglmSao,Learning,"Culture, Politics, Food, Design",Physical,Local,,,,,Building 71,Ebrington,,Derry~Londonderry,BT47 1JY,,,,,,,,,,,,,
open,Academic,Europe,DESIS Network,Italy,"Via Durando 38/A -2nd Floor, Milan, 20158",Milan,,"A network of design labs, based in design schools and design-oriented universities, actively involved in promoting and supporting sustainable change. DESIS uses design thinking to co-create, with local, regional and global partners, socially relevant solutions.",Cluster,Lab,ezio.manzini@polimi.it,http://www.desis-network.org,,http://www.facebook.com/DESISnetwork,45.50606,9.16363,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,Ezio,Manzini,President,http://movement.open.co/sites/default/files/styles/medium/public/desis-network.jpeg?itok=5orSj-qu,"Mentoring, Learning","Education, Community, Design",Physical,Global,,,,,Via Durando 38/A -2nd Floor,,,Milan,20158,,,,,,,,,,,,,
open,Entrepreneur,Europe,Edgeryders,Italy,"´Palazzo del Casale, 20, Via San\'Antonio Abate, Matera, MT 75100",Matera,,"An open source online platform, offline community and social enterprise matching new projects with potential clients to generate meaningful paid work. It is a global forum for young Europeans solving social issues and generating jobs, by creating projects and community events.",Cluster,Marketplace,noemi@edgeryders.eu,http://edgeryders.eu/page/about-edgeryders,,https://www.facebook.com/Edgeryders,40.668178,16.610252,,,,,,,,,,,,,2011,,,@edgeryders,,,,,,,,,,,,,,,,,,,,Noemi,Salantiu,Founder,http://movement.open.co/sites/default/files/styles/medium/public/edgeryders.jpeg?itok=qs0SvusI,"Working, Sharing","Community, Youth","Digital, Physical",Continental,,,,,´Palazzo del Casale,20,Via San\'Antonio Abate,Matera,MT 75100,,,,,,,,,,,,,
open,Entrepreneur,,Embolacha,Brazil,", Rio De Janeiro, ",Rio De Janeiro,,"A Brazilian crowdfunding platform for various artists who lack funding. The platform enables them to make their dreams a reality by raising funds from their audience. In turn, the fans get to shape the music they want to hear.",Cluster,Marketplace,ideias@embolacha.com.br,http://www.embolacha.com.br/o-que-e/,,https://www.facebook.com/embolacha?fref=ts,,,,,,,,,,,,,,,2011,,@Embolacha,,,,,,,,,,,,", Rio De Janeiro,",,,,,,,,,,,,http://movement.open.co/sites/default/files/styles/medium/public/embolacha.jpeg?itok=jL_zr41Q,"Donating, Celebrating","Community, Culture",Digital,National,,,,,,,,Rio De Janeiro,,,,,,,,,,,,,,
open,Entrepreneur,South America,Endossa,Brazil,"Augusta, Rua Augusta 1360´,  Sao Paulo, ",Sao Paulo,,"A retail shop, which connects creative designers to hip consumers, using the concept of collaborative filtering. It supports micro-entrepreneurs who can choose among different box sizes available for rent in the shop space, and customise them to market their creations.",Cluster,Marketplace,´franquias@endossa.com´,http://www.endossa.com/,,https://www.facebook.com/lojaendossa,-25.437166,-49.286525,,,,,,,,,,,,,2008,,,https://twitter.com/endossa,,,,,,,,,,,,,,,,,,,,Carlos,Margarido,Owner,http://movement.open.co/sites/default/files/styles/medium/public/endossa.jpeg?itok=X-SaB7jG,"Trading, Celebrating",Design,Physical,Local,,,,,Augusta,Rua Augusta 1360´,,Sao Paulo,,,,,,,,,,,,,,
open,,Middle East & North Africa,Ettijahat. Independent Culture,Lebanon,"PO Box 166021, Sun Flower Theatre, Tayouneh Square, Beirut, ",Beirut,,"Ettijahat. Independent Culture´is an organization that stimulates the growth of independent culture in Syria, driven by the belief in a´diverse and varied Syria that is intellectually and artistically productive, and that believes that culture is the inalienable right of every Syrian citizen. It does this by encouraging a positive and real relationship between culture and Syria€s diverse communities and´works on three primary axes: ´First,´Ettijahat´represents part of an active and independent cultural movement in Syria by cooperating with independent artists and cultural actors on dynamic and relevant projects that respond to their political and social environments, and that reflect people€s priorities (here and now).´Second,´Ettijahat´provides the basic tools and structures (including studies and research) required to design and build cultural projects that are in-line with regional and national developments in the fields of art and culture.´Third,´Ettijahat´engages with national policies and approaches to art and culture and aims towards shifting general perception of culture: from part of the service sector in Syria to a vital element in the country€s development sector.´",Cluster,Cluster,info@ettijahat.org,http://www.ettijahat.org,,,35.5140456,33.8705196,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,http://movement.open.co/sites/default/files/styles/medium/public/Ettijahat.png?itok=4wwkgjeu,"Learning, Making, Investing, Sharing, Mentoring, Celebrating","Culture, Tech, Community, Youth, Design, Politics",Physical,Continental,,,,,PO Box 166021,Sun Flower Theatre,Tayouneh Square,Beirut,,,,,,,,,,,,,,
open,Corporation,Europe,Film 4.0 Channel 4,United Kingdom,"124 Horseferry Rd, Greater London,  London, SW1P 2TX",London,,"An online film streaming service, where visitors can rent films online and build their watchlist. Users can personalise their film experience. Its aim is to find new talent and discover new ways of making, marketing and distributing films and engaging new audiences online.",Cluster,Marketplace,jeffreys@taylorherring.com,http://www.film4.com/film4-productions/innovation-at-film4,,https://www.facebook.com/Film4,51.495886,-0.132947,,,,,,,,,,,,,1982,,,@Film4,,,,,,,,,,,,,,,,,,,,Anna,Higgs,Comission Executive,http://movement.open.co/sites/default/files/styles/medium/public/film-40-channel-4.jpeg?itok=dvRcPzIV,"Trading, Celebrating",Culture,Digital,National,,,,,124 Horseferry Rd,Greater London,,London,SW1P 2TX,,,,,,,,,,,,,
open,Entrepreneur,Europe,Flacon,Russia,"__. _., _______________ 36,  Moscow, 127015",Moscow,,"A former factory, converted into a design and sociocultural hub. The space now houses over 100 tenants from the design, media, fashion, advertising and lifestyle sectors, and often hosts experimental events that bring together local subcultures and young creative entrepreneurs.",Cluster,Cluster,cce@britishcouncil.org,http://www.flacon.ru,,https://www.facebook.com/FlaconDesignFactory,37.544099,55.911852,,,,,,,,,,,,,2009,,,@flacon_info,,,,,,,,,,,,,,,,,,,,Anna,Manyuk,Co-Founder,http://movement.open.co/sites/default/files/styles/medium/public/flacon.jpeg?itok=cJ9xLlK-,Making,"Design, Community, Culture",Physical,Local,,,,,__. _.,_______________ 36,,Moscow,127015,,,,,,,,,,,,,
open,Non-Profit,Europe,Flanders Arts Institute,Belgium,"Sainctelettesquare 19,  Brussels, 1000",Brussels,,"Flanders Arts Institute serves the arts sector in Flanders. Its programs range from supporting artists through international exchanges and exposure visits, to developing the point of reference for information about Arts and Cultural Heritage in and from Flanders and about its artists who are active abroad.

The organization was formed in 2015 through a merger of BAM (Flemish Institute for Visual, Audiovisual and Media Art), VTi (Institute for the Performing Arts in Flanders) and Flanders Music Center.",Cluster,Cluster,felix@kunsten.be,http://www.flandersartsinstitute.be/,,https://www.facebook.com/FlandersArtsInstitute,50.858786,4.3476,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,Felix,De Clerck,Director,http://movement.open.co/sites/default/files/styles/medium/public/FAI-rood.png?itok=tNXEL7CF,"Learning, Sharing, Celebrating",Culture,"Physical, Digital",Regional,R.,Khambata,rizwaankhambata@gmail.com,Civic Labs,Sainctelettesquare 19, ,,Brussels,1000,,,,,,,,,,,,,
open,Non-Profit,South America,Fora Do Eixo,Brazil,"Rua Scuvero, ´282 - Liberdade,  Sao Paulo, ",Sao Paulo,,"A network of cultural producers, which initially focused on the exchange of knowledge around music projects and event production. It has expanded to encompass other forms of expression such as audiovisual, the theatre and the visual arts.",Cluster,Cluster,contato@foradoeixo.org.br,http://foradoeixo.org.br,,https://www.facebook.com/foradoeixo?fref=ts,-30.031353,-51.225866,,,,,,,,,,,,,2005,,,@foradoeixo,,,,,,,,,,,,,,,,,,,,Lenissa,Lenza,Advisor,http://movement.open.co/sites/default/files/styles/medium/public/fora-do-eixo.jpeg?itok=9KgfeSBb,Celebrating,"Culture, Community",Pop-up,National,,,,,Rua Scuvero,´282 - Liberdade,,Sao Paulo,,,,,,,,,,,,,,
open,Entrepreneur,North America,General Assembly,United States,"Shoreditch Town Hall´, 380 Old St,  London, EC1V 9LT",London,,"A network of venues offering immersive programs, courses, and workshops for digital entrepreneurs and workers. Subjects include web development and user experience design, business fundamentals, data science, product management and digital marketing.",Cluster,School,"enterprise@generalassemb.ly ,  london@generalassemb.ly",https://generalassemb.ly/,,https://www.facebook.com/gnrlassembly,51.527783,-0.079228,,,,,,,,,,,,,2001,,,@GA,,,,,,,,,,,,,,,,,,,,Adam,Pritzker,Co-Founder,http://movement.open.co/sites/default/files/styles/medium/public/general-assembly.jpeg?itok=USEvluBl,Learning,Education,"Physical, Digital",Global,,,,,Shoreditch Town Hall´,380 Old St,,London,EC1V 9LT,,,,,,,,,,,,,
open,,,Hanoi Grapevine,,",  ",,,"Since its establishment on 11 October 2007 Hanoi Grapevine has become an important and active promoter of the art scene in Vietnam. We focus mainly on contemporary art and culture, and provide information about art exhibitions, film and music festivals, theatre performances, original music gigs, documentary and film screenings, photography, fashion and literary events as well as charity events and sometimes also networking gatherings. Our calendar can keep you updated with current information on what€s happening in Hanoi, Ho Chi Minh City, and across Vietnam.

Our content is bi-lingual (English and Vietnamese), and our readership is a unique combination of both locals and expatriates/foreigners who are interested in art and culture activities in the country.

´",Cluster,Cluster,,https://hanoigrapevine.com/,,,21.0254649,105.8560628,,,,,,,,,,,,,2007,,,,,,,,,,,,,,"15 NgÃ´ Quyá»Ån, HoÃ n Kiáº¿m, HÃ  Ná»™i 010000, Vietnam","21.0254649, 105.8560628",https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,78afef4a88b595a11fa7b5a7eb64ac66135c616e,ChIJTbX4mOurNTERJV-mNCKY1pA,Hotel Sofitel Legend Metropole Hanoi,,4.7,"[u'restaurant', u'food', u'lodging', u'point_of_interest', u'establishment']",,,,http://movement.open.co/sites/default/files/styles/medium/public/manzi.jpg?itok=JNhdu85l,,,,,,,,,,,,,,,,,,,,,,,,,,
open,Entrepreneur,South America,Ideame,Argentina,", Buenos Aires, ",Buenos Aires,,"A crowdfunding platform where creators launch ideas that need funding and backers discover, fund and engage with creators. Together they drive educational, social & economic impact throughout Latin America.",Cluster,Marketplace,´editors@thenextweb.com,http://idea.me,,https://www.facebook.com/ideamecom,,,,,,,,,,,,,,,2006,,@ideamecom,,,,,,,,,,,,", Buenos Aires,",,,,,,,,,Zee M.,Kane,Manager,http://movement.open.co/sites/default/files/styles/medium/public/ideame.jpeg?itok=RQMGARi0,"Trading, Celebrating, Donating",Community,Digital,Continental,,,,,,,,Buenos Aires,,,,,,,,,,,,,,
open,Non-Profit,Europe,Ideas Tap,United Kingdom,"IdeasTap Ltd, Woolyard, 54 Bermondsey Street, London, SE1 3UD",London,,"An organisation established to help those at the start of their creative careers, with funding or networking options. It builds connections with leading arts organisations to create jobs for its community members and it advises and trains the young of the creative industry.",Cluster,Marketplace,´info@ideastap.com´,http://www.ideastap.com/,,https://www.facebook.com/IdeasTap,51.501639,-0.082551,,,,,,,,,,,,,2008,,,@IdeasTap,,,,,,,,,,,,,,,,,,,,Peter,De Haan,Chairman,http://movement.open.co/sites/default/files/styles/medium/public/ideas-tap.jpeg?itok=Zk7kXxrw,"Mentoring, Working, Learning","Education, Youth, Culture",Digital,Local,,,,,IdeasTap Ltd,Woolyard,54 Bermondsey Street,London,SE1 3UD,,,,,,,,,,,,,
open,Non-Profit,Europe,International Network for Contemporary Performing Arts,Belgium,", 19 Square Sainctelette,  Brussels, 1000",Brussels,,"A network which stimulates the quality and development of the arts by facilitating networking and knowledge transfer, helping artists adapt to changes in their political context. It is based around a digital platfrom, which lists live meetings and projects.",Cluster,Marketplace,´milica.ilic@ietm.org,http://ietm.org/,,https://www.facebook.com/IETMnetwork,50.859074,4.3476,,,,,,,,,,,,,1981,,,@IETM,,,,,,,,,,,,,,,,,,,,Milica,Ilic´,Head of Communications,http://movement.open.co/sites/default/files/styles/medium/public/international-network-for-contemporary-performing-arts.jpeg?itok=uSebQGw1,"Sharing, Learning","Community, Culture","Pop-up, Digital",Global,,,,,,19 Square Sainctelette,,Brussels,1000,,,,,,,,,,,,,
open,Entrepreneur,Asia,Island Souvenirs,Philippines,"Islandssouvenir store, D Mall and Station 1,  Boracay, ",Boracay,,"A company which developed souvenir shopping in the Philippines, by introducing a new creative design of unique, quality souvenirs and packages. It has expanded internationally and turned the region into a cluster of design, centered around the tourism experience.",Cluster,Cluster,info@islandssouvenirs.com,http://www.islandssouvenirs.com,,https://www.facebook.com/Islands.Souvenirs,123.902264,10.325904,,,,,,,,,,,,,1993,,,@IslandsSouvenir,,,,,,,,,,,,,,,,,,,,Jay,Aldequar,Founder,http://movement.open.co/sites/default/files/styles/medium/public/island-souvenirs.jpeg?itok=JJhMGsI7,Trading,"Design, Culture",Physical,Global,,,,,Islandssouvenir store,D Mall and Station 1,,Boracay,,,,,,,,,,,,,,
open,Entrepreneur,Europe,Jovoto,Germany,"jovoto GmbH, Prinzessinnenstra–e 20,  Berlin, D-10969",Berlin,,jovoto enables large brands to brainstorm at scale and solve product design and innovation challenges with 65.000+ creative professionals globally.,Cluster,Marketplace,,http://jovoto.com,,https://www.facebook.com/jovotopage,52.50246,13.41236,,,,,,,,,,,,,2007,,,@jovoto,,,,,,,,,,,,,,,,,,,,,,,http://movement.open.co/sites/default/files/styles/medium/public/jovoto.png?itok=G4bNUSbH,"Learning, Making, Working, Sharing, Trading","Tech, Design",Digital,Global,,,,,jovoto GmbH,Prinzessinnenstra–e 20,,Berlin,D-10969,,,,,,,,,,,,,
open euro list,,,Kasarne Kulturpark,Slovakia,,Ko_ice,,,Cluster,,,http://www.kulturpark.sk/,,,48.713477,21.255541,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kukuƒç√≠nova, 040 01 Juh, Slovakia","48.713477, 21.255541",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,c9f4aa3ad1660f1a7c3470ad06566009073edbce,ChIJ7V6pHnLgPkcRiift-6PneHY,Creative Industry Ko≈°ice,,4.4,"[u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,
open euro list,,,Kauwgomballenfabriek,Netherlands,,Amsterdam,,,Cluster,,info@kauwgomballenfabriek.nl,http://www.kauwgomballenfabriek.nl/,,,52.334872,4.9184418,,,,,,,,,,,,,,,,,,,,,,,,,,,"Willem Fenengastraat 4, 1096 BN Amsterdam, Netherlands","52.334872, 4.9184418",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,1d5ffb68a4b5973f6750edc0a206444b5b61fc1f,ChIJnxHHA9ILxkcR8XWdRLkkUOE,Kauwgomballenfabriek,,,"[u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,1090 BB,,,,,,,,,,,,,
open,Entrepreneur,North America,Kickstarter,United States,"155 Rivington St´, New York, ´NY´10002",New York,,"The leading online crowdfunding platform, focusing on creative projects. Individuals, teams and start-ups ask for support by presenting their idea on the site. Individuals then pledge support at different levels, in order to support the project and gain different rewards.",Cluster,Marketplace,´kickstarter@council.nyc.gov,http://www.kickstarter.com/,,https://www.facebook.com/Kickstarter,40.724555,-73.941852,,,,,,,,,,,,,2009,,,@kickstarter,,,,,,,,,,,,,,,,,,,,Perry´,Chen,CEO,http://movement.open.co/sites/default/files/styles/medium/public/kickstarter.jpeg?itok=lASYsdtH,"Trading, Celebrating, Donating",Community,Digital,Global,,,,,155 Rivington St´,,,New York,´NY´10002,,,,,,,,,,,,,
open,Non-Profit,Asia,Lamakaan,India,"Off Road No. 1, Banjara Hills,  Hyderabad, ",Hyderabad,,"Lamakaan is an inclusive cultural space that promotes and presents the best of arts, literature, theatre, debate and dialogue with a commitment to being open and accessible.

Lamakaan is:
- A non-sectarian space with deep respect for grassroots work.
- Where new generation of artists, thinkers and activists interact and grow.
- Where people come together and ideas are born.
- For new and creative conceptions of unity, rejuvenation and resistance.",Cluster,Cluster,lamakaan@gmail.com,http://www.lamakaan.com,,https://www.facebook.com/lamakaan,17.421012,78.447314,,,,,,,,,,,,,,,,@lamakaan,,,,,,,,,,,,,,,,,,,,,,,http://movement.open.co/sites/default/files/styles/medium/public/44446_427732688428_1129200_n.jpg?itok=njypE595,"Learning, Sharing, Celebrating","Culture, Community, Politics",Physical,Local,,,,,Off Road No. 1,Banjara Hills,,Hyderabad,,,,,,,,,,,,,,
open,Government,Middle East & North Africa,Lebanon Creative Cluster,Lebanon,"C/O Strategic Decisions Group, 1136 Abdel Malek Street, 3rd Floor, Beirut Central District, Beirut, ",Beirut,,"An initiative to advance the creative sector by coordinating across the industries of advertising, publishing, digital media, broadcasting and film. The focus lies on Developing Capacity, The Support Landscape, Access to Capital, and Market Shaping & Market Making.",Cluster,Cluster,LebanonCreativeCluster@gmail . com,http://lebanoncreativecluster.wordpress.com/,,,35.505484,33.899195,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,Desiree´,El-Chebeir,Director,http://movement.open.co/sites/default/files/styles/medium/public/lebanon-creative-cluster_0.png?itok=A-3dy61S,"Learning, Investing, Mentoring","Culture, Tech, Design, Politics",Physical,Regional,,,,,C/O Strategic Decisions Group,1136 Abdel Malek Street,"3rd Floor, Beirut Central District",Beirut,,,,,,,,,,,,,,
open,Non-Profit,Europe,Liquid Feedback,Germany,"Johannisstr. 12, 10117,  Berlin, ",Berlin,,"Open-source software which facilitates fair proposition development and decision making. It is a democratic system in which issues are decided by direct referendum, with proportional representation of minorities, a fully transparent process and equal treatment of alternatives.",Cluster,Marketplace,info@interaktive-demokratie.org,http://liquidfeedback.org/,,https://www.facebook.com/liquid.radio.Berlin/info,52.524744,13.391443,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,Axel,Kistner,Co-Founder,http://movement.open.co/sites/default/files/styles/medium/public/liquid-feedback.jpeg?itok=8BK2DDOs,Sharing,"Tech, Community",Digital,Global,,,,,Johannisstr. 12,10117,,Berlin,,,,,,,,,,,,,,
open,Government,North America,Mayor's Office of Civic Innovation,United States,", San Francisco, ",San Francisco,,"The office championing new ideas, tools and approaches in San Francisco€s government. It works with the mayoral leadership, city departments and residents, and there is a rolling portfolio of projects which all aim to lower costs, increase revenue, save lives, or improve lives.",Cluster,Cluster,jay.nath@sfgov.org,http://innovatesf.com/,,,37.781027,-122.421341,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,Jay,Nath,Chief innovation officer,http://movement.open.co/sites/default/files/styles/medium/public/mayors-office-of-civic-innovation.jpeg?itok=2vFDLiwb,"Making, Investing","Culture, Tech",Physical,Local,,,,,,,,San Francisco,,,,,,,,,,,,,,
open,Entrepreneur,Europe,Meanwhile Space,United Kingdom,"Meanwhile Space CIC, Vault 14, Somerset House, The Strand, London, WC2R 1LA",London,,"Facilitates the temporary use of vacant buildings or land for social or economic gain until they can be brought back into commercial use. Projects can transform vacant land and premises from emptiness to active use for creative, cultural and community purposes.",Cluster,Marketplace,eb@meanwhilespace.com,http://www.meanwhilespace.com/,,https://www.facebook.com/pages/Meanwhile-Space/172403016104894,51.512321,-0.117331,,,,,,,,,,,,,2009,,,https://twitter.com/meanwhile_space,,,,,,,,,,,,,,,,,,,,Eddie,Bridgeman,Director,http://movement.open.co/sites/default/files/styles/medium/public/meanwhile-space.jpeg?itok=R3ZdvKoA,Sharing,Community,Pop-up,Regional,,,,,Meanwhile Space CIC,Vault 14,"Somerset House, The Strand",London,WC2R 1LA,,,,,,,,,,,,,
open,Corporation,Europe,Media City UK,United Kingdom,"Salford Quays, Manchester, M50 2EQ",Manchester,,"Located at Salford Quays in Manchester, MediaCityUK has been developed by The Peel Group. The vision is for MediaCityUK to become a leading international hub for the creative and digital sectors, and a vibrant destination to work, live and play.",Cluster,Cluster,hello@mediacityuk.co.uk,http://www.mediacityuk.co.uk/,,https://www.facebook.com/MediaCityUKofficial,53.474102,-2.297634,,,,,,,,,,,,,2012,,,@MediaCityUK,,,,,,,,,,,,,,,,,,,,,,,http://movement.open.co/sites/default/files/styles/medium/public/media-city-uk.jpeg?itok=owma_KlN,"Learning, Working, Trading","Culture, Tech, Design",Physical,Local,,,,,Salford Quays,,,Manchester,M50 2EQ,,,,,,,,,,,,,
open,Government,Asia,Mediapolis,Singapore,", 3 Fusionopolis Way, #16-22 Symbiosis, Singapore, 138633",Singapore,,"A 'Living Laboratory' _ where one can 'live-work-learn-play' _ Mediapolis will be Singapore€s first digital media hub (due to open in 2020), where emerging media technologies, content, services and applications will be developed, produced, financed and distributed to the world.",Cluster,Cluster,customerservice@starhub.com´i,http://www.mda.gov.sg/IndustryDevelopment/Mediapolis/Pages/Overview.aspx,,,103.788039,1.2987,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,Koh,Lin-Net,CEO,http://movement.open.co/sites/default/files/styles/medium/public/mediapolis.jpeg?itok=TOuJ2BZJ,"Working, Investing, Mentoring","Tech, Design, Education",Physical,Local,,,,,,3 Fusionopolis Way,#16-22 Symbiosis,Singapore,138633,,,,,,,,,,,,,
open,Entrepreneur,Europe,Modestraat,Netherlands,"Buiksloterdijk 468, 1034 ZM,  Amsterdam, ",Amsterdam,,"A Fashion Street where creative entrepreneurs, designers and residents work. With pop-up shops and restaurants, performance, decor, photography, textiles, clothing and decor, the place becomes vibrant.",Cluster,Cluster,gwen@broedstraten.nl,http://www.broedstraten.nl/,,,52.401214,4.912949,,,,,,,,,,,,,2010,,,,,,,,,,,,,,,,,,,,,,,Floor,Ziegler,Artistic director,http://movement.open.co/sites/default/files/styles/medium/public/modestraat.jpeg?itok=kwQ2y1ai,"Working, Trading, Celebrating","Design, Culture, Food",Physical,Local,,,,,Buiksloterdijk 468,1034 ZM,,Amsterdam,,,,,,,,,,,,,,
