Source,"Changed, corrected",Region,Name,Country,address,City and Region,State,description,Category,Full Category,E-mail,Website,Phone,Facebook,Degrees,Long,Lat,Tools,Short blurb (NULL),Fablabs url (NULL),wiki_hackerspaces,Status,Flickr,YouTube,Ustream,Mailinglist,Last Updated,Open to Exchanges?,IRC,Date of founding,Number of members,Wiki,Twitter,GooglePlus,Membership fee,Jabber,Open to Residencies?,City,State or District,"meetup, Eventbrite",Size of rooms,Original Long lat or degrees,,g_Address,g_LatLng,g_Icon,g_Id,g_Place_Id,g_Name,g_Hours,g_Rating,g_Types,State 
Hackerspaces.org,,USA,Rogue Hack Lab,USA,"225 East Main Street #201, 97501, Medford, OR","Medford, OR, Oregon", OR,"We welcome you to come make, learn, and play with us.",Makerspace/Hackerspace,,board@roguehacklab.com,http://roguehacklab.com/,,,,-122.872,42.3264,,,,https://wiki.hackerspaces.org/Rogue_Hack_Lab,active,,,,http://roguehacklab.com/cgi-bin/mailman/listinfo/announcements,41990,yes,irc://irc.freenode.net:6667/#soggy,40920,22,http://roguehacklab.com/mediawiki/index.php/Rogue_Hack_Lab,https://twitter.com/roguehacklab,,,,maybe,"Medford, OR",Oregon,,750 ft™_,"42_ 19' 35"", -122_ 52' 20""",,,,,,,,,,, OR
Hackerspaces.org,,USA,Computer Club of Western Michigan University,USA,"2244 Kohrman Hall, Kalamazoo","Kalamazoo, Michigan", Michigan,"If the answer to any of those questions is 'yes' then you should come check us out. We welcome anyone (regardless of computer experience) who is willing to share whatever talents they have, listen to others, and have a good time.",Makerspace/Hackerspace,,,http://yakko.cs.wmich.edu,,,,-85.6175,42.2808,,,,https://wiki.hackerspaces.org/Computer_Club_of_Western_Michigan_University,active,,,,,40770,,,28034,50,http://yakko.cs.wmich.edu/wiki/Main_Page,,,$10/year,,,Kalamazoo,Michigan,,900 sq ft,"42_ 16' 51"", -85_ 37' 3""",,"1903 W Michigan Ave, Kalamazoo, MI 49008, United States","42.2831778, -85.6152186",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,a1969622022e1be318149dbf86b2b3667b1aa15d,ChIJrScPrtt3F4gRW2PquYYXfME,Western Michigan University,,4.2,"[u'university', u'point_of_interest', u'establishment']", Michigan
Hackerspaces.org,,USA,Davis Makerspace,USA,"221 G Street Suite 1337, 95616, Davis","Davis, California", California,The Davis Makerspace has a space in Tim Spencer Alley in downtown Davis.  Come check it out.,Makerspace/Hackerspace,,contact@davismakerspace.org,http://davismakerspace.org,,,,-121.739,38.5444,,,,https://wiki.hackerspaces.org/Davis_Makerspace,active,,,,lists.davismakerspace.org,41558,,irc://chat.freenode.net/davismakerspace,41143,15,http://wiki.davismakerspace.org,,,,,,Davis,California,,645 sq. ft.,"38_ 32' 40"", -121_ 44' 21""",,"221 G St #1337, Davis, CA 95616, United States","38.5443431, -121.7393895",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,bcae12691cee81152aa360aa586b8ea48d6ef42b,ChIJE1wUgXMphYAR7rPGgSc_ml0,Davis Makerspace,,,"[u'point_of_interest', u'establishment']", California
Hackerspaces.org,,USA,Institute for Exploratory Research,USA,"2201 Marconi Rd., NJ-07719, Wall Township","Wall Township, New Jersey", New Jersey,,Makerspace/Hackerspace,,info@ixrnj.org,http://www.ixrnj.org,,http://www.facebook.com/IXRNJ,,-74.0592,40.1861,"3D Printer, CNC, Soldering Iron, Drill Press, Lathe, Welder, Sewing Machine",,,https://wiki.hackerspaces.org/Institute_for_Exploratory_Research,active,,,,http://groups.yahoo.com/groups/ixr_nj,42016,,,40661,20,,,,$20/month,,,Wall Township,New Jersey,,"1000 ft™_ tech-lab, 1000 ft™_ classroom.","40_ 11' 10"", -74_ 3' 33""",,,,,,,,,,, New Jersey
Hackerspaces.org,,USA,Hacksburg,USA,"2200 Kraft Dr., Suite 1475, 24060, Blacksburg","Blacksburg, Virginia", Virginia,,Makerspace/Hackerspace,,hacksburg@gmail.com,http://hacksburg.org,,https://www.facebook.com/groups/405322866198425/,,-80.4075,37.1997,"Drill Press, Soldering Iron",,,https://wiki.hackerspaces.org/Hacksburg,active,,,,https://groups.google.com/forum/#!forum/hacksburg,41731,maybe,,41699,~30,wiki.hacksburg.org,http://twitter.com/hacksburg,,"1 year: $300 ($25/month)6 months: $180 ($30/month)3 months: $120 ($40/month)1 month: $50 ($50/month)5 days (can be non-consecutive): $25 ($150/month)",,no,Blacksburg,Virginia,,~1500 ft^2,"37_ 11' 59"", -80_ 24' 27""",,"2200 Kraft Dr #1475, Blacksburg, VA 24060, United States","37.199359, -80.407971",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,cf91f9fbf29dffb7643c7148b71d0ccfd6b51a54,ChIJ8QYrUVaUTYgRIEno8ePR91k,Hacksburg,,,[u'establishment'], Virginia
Hackerspaces.org,,USA,Radicand Lab,USA,"220 Pine Street, 94063, Redwood City","Redwood City, California", California,,Makerspace/Hackerspace,,info@radicandlabs.com,http://radicandlabs.com/,,https://www.facebook.com/pages/Radicand-Lab/521788401174565,,-122.222,37.4794,"3D Printer, CNC, Lasercutter, Lathe, Drill Press, Welder, Soldering Iron, Air Compressor, Kitchen",,,https://wiki.hackerspaces.org/Radicand_Lab,active,,,,,41959,yes,,41365,83,,https://twitter.com/RadicandLab,,"Free.  We target members who are entrepreneurial in nature and/or are actively pursuing projects which may become commercially viable.  We operate based on a revenue-sharing model once you bring in funding for your project via a venture raise, crowd-funding, direct sales, grants, etc.",,yes,Redwood City,California,,10000 ft^2 indoor/outdoor,"37_ 28' 46"", -122_ 13' 20""",,"220 Pine St, Redwood City, CA 94063, United States","37.4795984, -122.2222264",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,d0a6c5d9084973acbaf2f10baf1f648ed66310c8,ChIJNYlTZKijj4ARnDEPW2by9EY,"Radicand, Inc.",,,"[u'point_of_interest', u'establishment']", California
Hackerspaces.org,,USA,Fort,USA,"2169 Mission Street, CA-94110, San Francisco","San Francisco, California", California,,Makerspace/Hackerspace,,,http://hackerspaces.org/wiki/Fort,,,,-122.419,37.7619,,,,https://wiki.hackerspaces.org/Fort,building,,,,,41411,,fort,41287,µ∏_,https://www.noisebridge.net/wiki/Fort,,,"Uber Guest Member, I case (12, 12oz cans) of chilled beverage. Hacker 160 quarters, loose in bag or rolled per each moon cycle. Backer $80/month. Supporter $160/month.",,,San Francisco,California,,233 ft™_,"37_ 45' 43"", -122_ 25' 10""",,"Marine Dr, San Francisco, CA 94129, United States","37.8106205, -122.4769726",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,16495dec9263f6043a19cf3a2d2733278241dbb0,ChIJ_fRRLeqGhYAROWsCl5027X8,Fort Point,,4.7,"[u'point_of_interest', u'establishment']", California
Hackerspaces.org,,USA,Fuzzlabs,USA,"216 blomington, Iowa City","Iowa City, Iowa", Iowa,,Makerspace/Hackerspace,,,http://www.fuzzlabs.org,,http://www.facebook.com/home.php#!/home.php?sk=group_169307313084510,,-91.5303,41.6611,,,,https://wiki.hackerspaces.org/Fuzzlabs,active,,,,,41049,,,40483,5,http://fuzzlabs.org/wiki/,,,,,,Iowa City,Iowa,,,"41_ 39' 40"", -91_ 31' 49""",,,,,,,,,,, Iowa
Hackerspaces.org,,USA,Tesseract Point,USA,"2148 Rim Road, NC-28314, Fayetteville","Fayetteville, North Carolina", North Carolina,"Tesseract Point is a new shared community space for technologies and creative activities of all kinds.  We have a common lounge and shop spaces for making, and office space for coworking for small businesses, freelancers, remote workers and entrepreneurs.",Makerspace/Hackerspace,,info@tesseractpoint.com,http://www.tesseractpoint.com/,,https://www.facebook.com/groups/tesseractpoint,,-79.0503,35.0322,"Drill Press, Soldering Iron",,,https://wiki.hackerspaces.org/Tesseract_Point,active,,,,,42140,,,42111,,wiki.tesseractpoint.com,https://twitter.com/tesseractpoint,,"$55/month regular membership.       $210/month coworking membership.       $15 day visit",,,Fayetteville,North Carolina,,14000 ft2,"35_ 1' 56"", -79_ 3' 1""",,"13000 Weston Pkwy # 109, Cary, NC 27513, United States","35.8228405, -78.807256",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,efc087dbf8fa681ebd6eb942401e7e0c392669de,ChIJVamo-SbyrIkRsy80WIctzS4,Tesseract Education & Consulting,,,"[u'point_of_interest', u'establishment']", North Carolina
Hackerspaces.org,,USA,Ideas to Things Inc.,USA,"21 Granville Ave, MA-02155, Boston","Boston, Massachusetts", Massachusetts,"Web Designer to make our website a bit more sparkly.Furniture (chairs especially!).New Members.",Makerspace/Hackerspace,,hunter@ideastothings.org,http://ideastothings.org/,2017259765,https://www.facebook.com/groups/146548305491495/?fref=ts,,-71.0747,42.3839,,,,https://wiki.hackerspaces.org/Ideas_to_Things_Inc.,active,,,,,41395,,,41206,4,,https://twitter.com/ideastothings,,This information has yet to be decided.,,,Boston,Massachusetts,,1000 ft™_,"42_ 23' 2"", -71_ 4' 29""",,,,,,,,,,, Massachusetts
Hackerspaces.org,,USA,Mount Holly Hackerspace,USA,"20C First Montgomery Drive, NJ-08060, Mount Holly","Mount Holly, New Jersey", New Jersey,We are starting a hackerspace in Mount Holly! Please contact us at mshekleton@gmail.com for more details.,Makerspace/Hackerspace,,mshekleton@gmail.com,,,,,-74.7786,39.9993,,,,https://wiki.hackerspaces.org/Add_a_hackerspace,planned,,,,,39962,,,39934,4,,,,Still hashing out the details... contact us for more info,,,Mount Holly,New Jersey,,,39.99931,,,,,,,,,,, New Jersey
Hackerspaces.org,,USA,TXRX Labs,USA,"205 Roberts St., 77003, Houston","Houston, Texas", Texas,,Makerspace/Hackerspace,,txrxlabs@gmail.com,http://txrxlabs.org/,,http://www.facebook.com/TxRxLabs,,-95.3506,29.7578,"Lasercutter, 3D Printer, 3D Scanner, CNC, Lathe, Welder, Kitchen, Drill Press, Soldering Iron, Sewing Machine",,,https://wiki.hackerspaces.org/TXRX_Labs,active,,,,http://groups.google.com/group/txrxlabs,42005,,,2008,250,,http://twitter.com/TxRxLabs,,"See, http://txrxlabs.org/join-us/, for the most up to date info.",,,Houston,Texas,http://www.meetup.com/TXRXLabs/,"30,000 sq ft","29_ 45' 28"", -95_ 21' 2""",,"205 Roberts St, Houston, TX 77003, United States","29.7508219, -95.3404498",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,c4f89ad3e6f09e874ab35a6b923e78ca1d06c520,ChIJj6vPH-i-QIYRhqwLUN4ojOY,TXRX Labs | Houston's Hackerspace,,4.6,"[u'point_of_interest', u'establishment']", Texas
Hackerspaces.org,,USA,Terre Haute Hackers,USA,"2036 N 29th street terre haute in, 47804, terre haute","terre haute, Indiana", Indiana,,Makerspace/Hackerspace,,terrehautehackers@outlook.com,,(574)742-6493,https://www.facebook.com/TerreHauteHackers,,-0.01276,51.5034,"Soldering Iron, Air Compressor",,,https://wiki.hackerspaces.org/Terre_Haute_Hackers,unknown,,,,,41360,,,41360,3,,,,free for now,,,terre haute,Indiana,,,"51.503355, -.0127564",,,,,,,,,,, Indiana
Hackerspaces.org,,USA,NextFab Studio,USA,"2025 Washington Avenue, 19146, Philadelphia","Philadelphia, Pennsylvania", Pennsylvania,,Makerspace/Hackerspace,,info@nextfabstudio.com,http://nextfabstudio.com/,,,,-75.1772,39.9394,"Lasercutter, 3D Printer, 3D Scanner, Sewing Machine, Serger, Soldering Iron, Drill Press, CNC, Lathe, Welder",,,https://wiki.hackerspaces.org/NextFab_Studio,active,,,,http://nextfabstudio.us1.list-manage.com/subscribe?u=810609acf5421c38ae878d8ea&id=d523f1d7a0,41993,,,40201,,,,,"Student: $75 per month; Individual: $100 per month; Corporate: Varies. Annual memberships are also available at the same rate, but the final month is free.",,,Philadelphia,Pennsylvania,,,"39_ 56' 22"", -75_ 10' 38""",,"2025 Washington Ave, Philadelphia, PA 19146, United States","39.939622, -75.177313",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,1c2006b3f5fa593d80b3cfef734e531e27f04ee3,ChIJr8AlWVbGxokRPT3Nv3gXkYM,NextFab,,4.7,"[u'point_of_interest', u'establishment']", Pennsylvania
fab_lab,,USA,Bellingham High School Tech Lab,USA,"2020 Cornwall Ave,  98225, ","Bellingham, ", Washington,"CAD Design, 3D printing, cnc milling, cnc vinyl plotter, large format color printer, 3 axis cnc metal mill, metal forming, robotics, electronics and various ""shop"" tools We are a public high school ""shop"" serving greater Bellingham.  Our mission is to transform education by exposing students to emerging technologies and challenging their problem solving abilities across a broad spectrum.  We engage in design, manufacture, redesign and refinement as a regular practice.  Our current course offerings are Engineering Technology 1,2,3 as well as Applied Physics and Robotics Engineering.  We are a proud contributor to the E-nable project.  The lab also hosts Summer Tech Camps for 4th and 5th graders.  These camps extend our reach and raise funds for our Engineering Club.Our nearly 4000 sq ft FABLAB facility includes a 28 station dedicated CAD lab with three 3D printers, a Roland GX-24 Vinyl cutter and a full color large format printer as well as a separate lab work area with 32 work stations, two Epilog laser engravers, a 48""X96"" Shopbot cnc router, ProLight 3 axis mill, sheet metal brake/shear/roller, vacuum bag table for laminate/fiberglass/carbon fiber projects, drill presses, band saws and various hand tools.",Fab Lab,,paul.clement@bellinghamschools.org,https://www.facebook.com/pages/Bellingham-High-School-Tech-Lab,360-647-6470 ext 7152,"<https://sites.google.com/site/clementbhs/>, <>, <>, <>, <>",,-122.473,48.7565,"three_d_printing, cnc_milling, laser, precision_milling, vinyl_cutting, ","CAD Design, 3D printing, cnc milling, cnc vinyl plotter, large format color printer, 3 axis cnc metal mill, metal forming, robotics, electronics and various ""shop"" tools",https://www.fablabs.io/bellinghamhighschooltechlab,,,,,,,,,,,,,,,,,,,,,,"48.7565231, -122.4734244",,"2020 Cornwall Ave, Bellingham, WA 98225, United States","48.7566896, -122.4742389",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,11718dca0fcd6fde762f6b4302f7b0e033c99c55,ChIJ65YdxZmjhVQRYyYums3lTsw,Bellingham High School,,,"[u'school', u'point_of_interest', u'establishment']", Washington
Hackerspaces.org,,USA,MakerSpace Urbana,USA,"202 S. Broadway, #100, 61801, Urbana","Urbana, Illinois", Illinois,"Makerspace Urbana is dedicated to enabling the blend of arts, humanities, science and technology. Our mission is to provide an open community lab where people of diverse backgrounds can learn, teach, tinker, collaborate, share, innovate, socialize, and create. .",Makerspace/Hackerspace,,makerspaceu@gmail.com,http://www.makerspaceu.org,,http://www.facebook.com/groups/118240874874433/?ap=1,,-88.2072,40.1111,,,,https://wiki.hackerspaces.org/MakerSpace_Urbana,active,,,,http://lists.chambana.net/mailman/listinfo/imc-makerspace,41503,,,40162,25,,http://twitter.com/#!/makerspaceu,,"Sliding scale, based on need.   Minimum: $20/mo.",,,Urbana,Illinois,,500 ft™_,"40_ 6' 40"", -88_ 12' 26""",,"202 S Broadway Ave, Urbana, IL 61801, United States","40.1114252, -88.2069762",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,7a7f42627c322e7332864b20abe19cc77ba5849d,ChIJXXc2VnXXDIgRTDzHC-JtngM,Urbana-Champaign Independent Media Center,,,"[u'art_gallery', u'point_of_interest', u'establishment']", Illinois
Hackerspaces.org,,USA,HatCH UNC,USA,"201 South Columbia Street, Sitterson Hall, Chapel Hill, NC-27599-3175, Chapel Hill","Chapel Hill, North Carolina", North Carolina,,Makerspace/Hackerspace,,,,,https://www.facebook.com/groups/uncHatCH/,,-79.0531,35.9097,,,,https://wiki.hackerspaces.org/HatCH_UNC,active,,,,,41249,,,41216,29,http://wiki.hatchunc.org/wiki/index.php/Main_Page,,,none,,,Chapel Hill,North Carolina,,,"35_ 54' 35"", -79_ 3' 11""",,"Chapel Hill, NC, United States","35.9049122, -79.0469134",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,7a6f8af6548bcf0ae92f61fb83843bd17c660113,ChIJ66oXy9LCrIkR4OCXZJfwO7M,University of North Carolina at Chapel Hill,,4.2,"[u'university', u'point_of_interest', u'establishment']", North Carolina
Hackerspaces.org,,USA,The KOIpound,USA,"2008 Freeman Avenue, Cincinnati, OH, 45214, Cincinnati","Cincinnati, Ohio", Ohio,"The region's first and only burnerspace and idea engine for mad science and creative collaboration. Memberships give 24 hr access to 2100 sq ft. outdoor courtyard, 2100 sq ft lounge and work/storage bays as well as 2500 sq ft indoor common performance space, workout space and creative space with available storage. Shop members get 24 hr access to 1000+ sq ft secure shop including medium-heavy duty saws, lathes, drill presses, sanders grinders, many other power and hand tools, charcoal forge and cnc router. Dance and performance flooring being installed fall/winter 2010/2011. Kiln operational early 2011.",Makerspace/Hackerspace,,,http://koipound.com,,,,-84.5308,39.1186,,,,https://wiki.hackerspaces.org/The_KOIpound,active,,,,,40469,,,,20,,,,"$25 basic membership/monthly, $50 shop membership/monthly. Group memberships are available for performance groups.",,,Cincinnati,Ohio,,"4500 sq ft outdoor, 3500 sq ft indoor","39_ 7' 7"", -84_ 31' 51""",,"9390 Cincinnati Columbus Rd, Cincinnati, OH 45241, United States","39.3147455, -84.3733204",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,e91d811d7b44518c393ea5af608f75d773b2fd7f,ChIJz54u1t1QQIgRS0ywWY40g9w,Aquatic & Garden Decor,,,"[u'store', u'point_of_interest', u'establishment']", Ohio
Hackerspaces.org,,USA,Oahu Makerspace,USA,"2004 Kahai St., 96819, Honolulu","Honolulu, Hawaii", Hawaii,,Makerspace/Hackerspace,,ross@oahumakerspace.com,http://www.oahumakerspace.com/,(808) 845-MAKE (6253),https://www.facebook.com/OahuMakerspace,,-157.886,21.3244,"3D Printer, CNC, Kitchen, Lasercutter, Lathe, Drill Press, Welder, Air Compressor, Soldering Iron, Sewing Machine, Serger",,,https://wiki.hackerspaces.org/Oahu_Makerspace,active,,https://www.youtube.com/channel/UCOvH2miPwkEQqWlnrVzZImA,,,41871,no,,,10,http://www.oahumakerspace.com/wiki/Main_Page,https://twitter.com/oahumakerspace,,$89 a month includes access to the makerspace and use of most of the equipment.  Some specialized equipment requires additional training and usage fee.,,no,Honolulu,Hawaii,,"4,500 ft2","21_ 19' 28"", -157_ 53' 11""",,"2004 Kahai St, Honolulu, HI 96819, United States","21.3247897, -157.8862246",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,f3e102246e88b95a5645c2cbe38c47ced4acb2bc,ChIJMyevfVxuAHwRw60oLWXxjg8,Oahu Makerspace,,,"[u'point_of_interest', u'establishment']", Hawaii
Hackerspaces.org,,USA,Irontribe,USA,"200 Hamilton Ave, White Plains","White Plains, New York", New York,,Makerspace/Hackerspace,,,www.irontribe.us,,,,-72.0592,41.5264,,,,https://wiki.hackerspaces.org/Irontribe,building,,,,,40316,,,40316,2,,,,$300 every 6 months,,,White Plains,New York,,2 500 sq ft rooms,"41_ 31' 35"", -72_ 3' 33""",,,,,,,,,,, New York
Hackerspaces.org,,USA,Beta Two Labs,USA,"200 Hamilton Ave, 10606, White Plains","White Plains, New York", New York,"If you are interested in becoming a member of Beta Two Labs, or would like to learn more about Beta Two Labs, please contact us at betatwolabs@gmail.com.",Makerspace/Hackerspace,,betatwolabs@gmail.com,http://www.betatwolabs.com,1 (914) 458-2522,http://www.facebook.com/group.php?gid=128720207167754,,-73.7697,41.0322,,,,https://wiki.hackerspaces.org/Beta_Two_Labs,active,,,,,40608,,,40483,6,http://groups.google.com/group/betatwolabs,http://twitter.com/@betatwolabs,,TBD,,,White Plains,New York,,,"41_ 1' 56"", -73_ 46' 11""",,,,,,,,,,, New York
fab_lab,,USA,MIT Center for Bits and Atoms- Closed to the Public,USA,"20 Ames St, E15-401,  2142, ","Cambridge, MA", MA, MIT's Center for Bits & Atoms digital fabrication facility and progenitor of the global fab lab network. This is a research facility and is closed to the public. http://cba.mit.edu/,University,,,http://www.fabfoundation.org,,"<http://fab.cba.mit.edu>, <>, <>, <>, <>",,-71.0881,42.3604,"three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting",,https://www.fablabs.io/cba,,,,,,,,,,,,,,,,,,,,,,"42.36043, -71.0881367",,,,,,,,,,, MA
fab_lab,,USA,FabLabFulton,USA,"2 Hornet Dr,  65251, 2 Hornet Dr","Fulton, ",MO,"FablabFultonMO is a rural fabrication and engineering lab in Callaway County Missouri specializing in STEM education and awareness while providing a means to expand upon and create individual ideas. FabLabFultonMo is equipped with two 3d printers ( expanding to four by summer 2014), an Epilog  laser, a Shopbot prs alpha 4896 cnc router, a vinyl cutter, a 3d scanner, table saw, planer, joiner, drill press and many smaller handtools. We are adding a new metal band saw and a separate wood band saw as well as a cnc plasma cutter early next year,",Fab Lab,,jhall@fulton58.org,http://www.fulton58.org/vnews/display.v/TP/52176a9ff08e3?cssfile=/teacherpages/Plain_Label_Blue/default.css,5735908100,"<>, <>, <>, <>, <>",,-91.9414,38.8721,"three_d_printing, cnc_milling, laser, vinyl_cutting, , ",FablabFultonMO is a rural fabrication and engineering lab in Callaway County Missouri specializing in STEM education and awareness while providing a means to expand upon and create individual ideas.,https://www.fablabs.io/fablabfultonmo,,,,,,,,,,,,,,,,,,,,,,"38.8721019, -91.9414094",,"1 Hornet Dr, Fulton, MO 65251, United States","38.872117, -91.9412671",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,84740f5280052bb752079e59e94fb032c41c183e,ChIJiytWsI6O3IcRQ0ypxTg-PJk,Fulton High School,,,"[u'school', u'point_of_interest', u'establishment']",MO
Hackerspaces.org,,USA,Solid State Depot / The Boulder Hackerspace,USA,"1965 33rd. St. Unit B, 80301, Boulder","Boulder, Colorado", Colorado,,Makerspace/Hackerspace,,,http://boulderhackerspace.com/,847-220-1968,,,-105.25,40.0217,,,,https://wiki.hackerspaces.org/Solid_State_Depot,active,http://www.flickr.com/groups/solidstatedepot/,,,http://groups.google.com/group/boulder-hackerspace-public/,41393,,irc.freenode.net,40229,35,,,,"$75/monthly there is Also a student rate of 25$",,,Boulder,Colorado,boulderhackerspace.eventbrite.com,1650 sq ft,"40_ 1' 18"", -105_ 15' 1""",,"1965 33rd St, Boulder, CO 80301, United States","40.0215793, -105.2501432",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,7de18c5cc27f1c01d7969636f87e66417b6c3f6a,ChIJEVrnBQfya4cRVNMzyGXvsck,Solid State Depot,,,"[u'point_of_interest', u'establishment']", Colorado
fab_lab,,USA,"IDEA Lab, Hathaway Brown School",USA,"19600 N Park Blvd,  44122, 19600 North Park Blvd","Shaker Heights, OH", OH,"The IDEA Lab at Hathaway Brown School is a makerspace and creativity center focused on innovation, design, engineering and art and serves the entire community from Early Childhood to Upper School. The IDEA Lab - Innovation, Design, Engineering, Art - at Hathaway Brown School is a complete makerspace and creativity center that serves the entire school community, from mini-makers to high school students!  We currently have multiple 3D printers, a 3D scanner, Epilog Lasers, a Desktop Milling Machine, Vinyl Cutter, ShopBot, and stations for Electronics and Molding & Casting.  ",Fab Lab,,ljackson@hb.edu,,2169324214,"<>, <>, <>, <>, <>",,-81.5416,41.4813,"three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting","The IDEA Lab at Hathaway Brown School is a makerspace and creativity center focused on innovation, design, engineering and art and serves the entire community from Early Childhood to Upper School.",https://www.fablabs.io/idealab,,,,,,,,,,,,,,,,,,,,,,"41.481344, -81.541618",,"19600 N Park Blvd, Shaker Heights, OH 44122, United States","41.4813271, -81.5417396",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,7f07f7bdedf718277f59c2827cab43040f4c0dd7,ChIJk_QDtw39MIgRPCdZ9EaHeJM,Hathaway Brown School,,,"[u'school', u'point_of_interest', u'establishment']", OH
Hackerspaces.org,,USA,FabLab Tacoma,USA,"1938 Market St, 98402, Tacoma","Tacoma, Washington", Washington,,Makerspace/Hackerspace,,,http://www.fablabtacoma.com,253-426-1267,www.facebook.com/FabLabTacoma,,-122.439,47.2431,"3D Printer, Lasercutter, Soldering Iron, CNC, Drill Press, Welder, Lathe",,,https://wiki.hackerspaces.org/FabLab_Tacoma,active,,,,,41965,,,41214,21,,@FabLabTacoma,,"$99 per month with one year commitment.($59 per month student)",,,Tacoma,Washington,,4000 sq ft,"47_ 14' 35"", -122_ 26' 22""",,"1938 Market St, Tacoma, WA 98402, United States","47.243463, -122.4396733",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,e08ef0af86e233e66ef1288e214c1b3b20d6b71f,ChIJMcRj73BVkFQRxGX4SoRYiVA,FabLab Tacoma,,,"[u'point_of_interest', u'establishment']", Washington
Hackerspaces.org,,USA,HackPittsburgh,USA,"1936 5th Ave., 15219, Pittsburgh","Pittsburgh, Pennsylvania", Pennsylvania,,Makerspace/Hackerspace,,info@hackpittsburgh.org,http://www.hackpittsburgh.org,,http://facebook.com/HackPgh,,-79.9778,40.4383,"Lasercutter, 3D Printer, CNC, Lathe, Welder, Sewing Machine, Drill Press, Band Saw""Band Saw"" is not in the list of possible values (3D Printer, 3D Scanner, Arcade, Brewery, CNC, Kitchen, Lasercutter, Shower, Slush Machine, RIPE Atlas, Lathe, Drill Press, Welder, Air Compressor, Portable Bandsaw, Soldering Iron, Hot Air Rework Station, Sewing Machine, Serger) for this property., Belt Sander""Belt Sander"" is not in the list of possible values (3D Printer, 3D Scanner, Arcade, Brewery, CNC, Kitchen, Lasercutter, Shower, Slush Machine, RIPE Atlas, Lathe, Drill Press, Welder, Air Compressor, Portable Bandsaw, Soldering Iron, Hot Air Rework Station, Sewing Machine, Serger) for this property., Table Saw""Table Saw"" is not in the list of possible values (3D Printer, 3D Scanner, Arcade, Brewery, CNC, Kitchen, Lasercutter, Shower, Slush Machine, RIPE Atlas, Lathe, Drill Press, Welder, Air Compressor, Portable Bandsaw, Soldering Iron, Hot Air Rework Station, Sewing Machine, Serger) for this property., Air Compressor, Soldering Iron, Hot Air Rework Station, Arcade, Kitchen, Bar""Bar"" is not in the list of possible values (3D Printer, 3D Scanner, Arcade, Brewery, CNC, Kitchen, Lasercutter, Shower, Slush Machine, RIPE Atlas, Lathe, Drill Press, Welder, Air Compressor, Portable Bandsaw, Soldering Iron, Hot Air Rework Station, Sewing Machine, Serger) for this property.",,,https://wiki.hackerspaces.org/HackPittsburgh,active,,,,,42122,,,39886,25,http://www.hackpittsburgh.org/wiki/index.php?title=Main_Page,http://twitter.com/HackPGH,,$30/month,,,Pittsburgh,Pennsylvania,,1700 ft™_,"40_ 26' 18"", -79_ 58' 40""",,"1936 Fifth Ave, Pittsburgh, PA 15219, United States","40.437883, -79.978033",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,78432af66b4569a7085ad870ecf909b4886f1dd8,ChIJBVycgmPxNIgRntNdZY52BrU,HackPittsburgh,,,"[u'point_of_interest', u'establishment']", Pennsylvania
